firstdigit-enter,writing_time,writing_speed,mind_condition,gulpease,time_key_before_enter_down,number_del,number_break
138.0,138.0,0.007246376811594203,1,100,135.0,0,0
157.0,157.0,0.006369426751592357,1,100,144.0,0,0
162.0,162.0,0.006172839506172839,1,100,158.0,0,0
134.0,134.0,0.007462686567164179,1,100,128.0,0,0
164.0,164.0,0.006097560975609756,1,88,160.0,0,0
160.0,160.0,0.00625,1,96,154.0,0,0
140.0,140.0,0.007142857142857143,1,100,134.0,0,0
185.0,185.0,0.005405405405405406,1,97,180.0,0,0
147.0,147.0,0.006802721088435374,1,100,144.0,0,0
169.0,169.0,0.005917159763313609,1,100,165.0,0,0
153.0,153.0,0.006535947712418301,1,100,147.0,0,0
157.0,157.0,0.006369426751592357,1,76,154.0,0,0
301.0,301.0,0.0033222591362126247,1,100,296.0,0,0
237.0,237.0,0.004219409282700422,1,100,228.0,0,0
168.0,168.0,0.005952380952380952,1,95,160.0,0,0
172.0,172.0,0.005813953488372093,1,100,164.0,0,0
201.0,201.0,0.004975124378109453,1,95,195.0,0,0
210.0,210.0,0.004761904761904762,1,93,207.0,0,0
162.0,162.0,0.006172839506172839,1,100,156.0,0,0
198.0,198.0,0.005050505050505051,1,100,194.0,0,0
269.0,269.0,0.0037174721189591076,1,100,258.0,0,0
169.0,169.0,0.005917159763313609,1,100,162.0,0,0
218.0,218.0,0.0045871559633027525,1,100,214.0,0,0
187.0,187.0,0.0053475935828877,1,100,180.0,0,0
175.0,175.0,0.005714285714285714,1,100,169.0,0,0
223.0,223.0,0.004484304932735426,1,88,214.0,0,0
233.0,233.0,0.004291845493562232,1,96,220.0,0,0
184.0,184.0,0.005434782608695652,1,100,179.0,0,0
170.0,170.0,0.0058823529411764705,1,97,162.0,0,0
144.0,144.0,0.006944444444444444,1,100,139.0,0,0
143.0,143.0,0.006993006993006993,1,100,137.0,0,0
190.0,190.0,0.005263157894736842,1,100,180.0,0,0
156.0,156.0,0.00641025641025641,1,76,148.0,0,0
250.0,250.0,0.004,1,100,245.0,0,0
198.0,198.0,0.005050505050505051,1,100,194.0,0,0
129.0,129.0,0.007751937984496124,1,95,124.0,0,0
